CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"110018 Pimenta Bueno";-;-;1;-;4;-;3;5;-;-;-;3;-;-;1;10;-;-;-;-;-;4;2;-;-;-;-;-;33
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110020 Porto Velho";-;-;3;-;39;1;92;143;-;3;7;13;-;2;6;17;-;-;-;2;-;62;3;-;1;1;-;-;395
"110025 Presidente Médici";-;-;1;-;3;-;2;1;-;1;-;-;-;-;-;7;-;-;-;1;-;2;1;1;-;-;-;-;20
"110147 Primavera de Rondônia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"110026 Rio Crespo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110028 Rolim de Moura";-;-;1;-;12;-;5;9;-;1;-;3;-;-;2;2;-;-;-;1;-;11;2;-;-;-;1;-;50
"110029 Santa Luzia D'Oeste";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3;1;-;-;-;-;8
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"110149 São Francisco do Guaporé";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;-;1;-;-;-;-;7
"110032 São Miguel do Guaporé";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;1;-;-;-;-;8
"110150 Seringueiras";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"110155 Teixeirópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
"110160 Theobroma";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;7
"110170 Urupá";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;1;1;-;-;-;-;16
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;4
"110180 Vale do Paraíso";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;4
"110030 Vilhena";-;-;1;-;5;-;17;57;-;2;-;5;-;-;1;7;-;-;-;1;1;16;2;-;1;-;1;-;117
"120001 Acrelândia";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;1;-;-;-;-;11
"120005 Assis Brasil";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;6
"120010 Brasiléia";-;1;-;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;4;1;-;-;-;-;-;15
"120013 Bujari";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"120017 Capixaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;-;-;-;1;-;7
"120020 Cruzeiro do Sul";-;1;1;-;19;1;5;19;-;1;3;2;-;-;1;8;-;-;-;1;-;3;2;1;-;-;1;-;69
"120025 Epitaciolândia";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"120030 Feijó";-;-;-;-;5;-;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;1;1;-;-;-;-;-;16
"120032 Jordão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;4
