CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2017
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"120080 Porto Acre";-;1;-;1;7;1;-;-;4;1;3;-;1;-;-;-;-;-;19
"120039 Porto Walter";-;-;-;3;10;-;-;-;4;1;2;-;-;-;-;-;-;-;20
"120040 Rio Branco";59;56;11;280;557;119;38;13;43;43;211;50;75;5;16;-;246;126;1948
"120042 Rodrigues Alves";-;1;-;2;9;1;-;-;5;1;3;-;-;-;-;-;-;1;23
"120043 Santa Rosa do Purus";-;-;-;5;7;1;-;-;1;-;4;-;1;-;-;-;-;-;19
"120050 Sena Madureira";5;2;-;10;31;4;1;-;4;2;15;-;3;-;-;-;-;4;81
"120045 Senador Guiomard";2;1;-;5;18;2;-;-;4;1;7;-;1;-;-;-;-;1;42
"120060 Tarauacá";1;2;-;8;19;1;-;1;8;-;9;-;1;-;-;-;5;2;57
"120070 Xapuri";1;1;-;2;16;2;-;-;6;-;3;-;1;-;-;-;-;3;35
"130002 Alvarães";-;1;-;1;8;2;-;-;3;1;3;1;1;-;-;-;-;-;21
"130006 Amaturá";1;-;-;1;17;-;-;-;4;-;4;1;-;-;-;-;-;1;29
"130008 Anamã";1;2;-;1;9;1;-;-;4;1;3;-;-;-;-;-;-;-;22
"130010 Anori";2;1;-;7;10;3;-;-;3;1;7;-;1;-;-;-;-;-;35
"130014 Apuí";1;1;-;4;15;3;-;-;5;-;3;-;1;1;-;-;-;1;35
"130020 Atalaia do Norte";1;-;-;3;35;1;-;-;3;4;5;-;-;-;1;-;-;-;53
"130030 Autazes";3;1;-;2;27;3;1;-;11;1;13;1;4;-;-;-;-;-;67
"130040 Barcelos";-;-;1;-;17;1;-;-;5;-;6;-;1;-;-;-;-;-;31
"130050 Barreirinha";1;-;-;8;29;2;1;-;6;-;10;1;-;-;-;-;-;2;60
"130060 Benjamin Constant";2;1;1;7;30;1;-;-;8;-;7;-;-;-;-;-;-;1;58
"130063 Beruri";1;-;-;2;11;-;-;-;4;-;3;-;-;-;-;-;-;1;22
"130068 Boa Vista do Ramos";1;1;-;2;13;1;-;-;6;1;3;-;-;-;-;-;-;-;28
"130070 Boca do Acre";2;1;3;7;21;9;1;-;6;1;14;1;4;-;-;-;1;5;76
"130080 Borba";6;4;-;5;28;2;1;1;9;2;13;-;1;1;-;-;-;2;75
"130083 Caapiranga";2;-;-;-;9;2;1;-;3;2;4;-;1;-;-;-;-;1;25
"130090 Canutama";-;-;-;3;8;-;-;-;5;-;2;-;-;-;-;-;-;-;18
"130100 Carauari";1;2;1;1;12;2;-;1;9;1;1;1;1;-;-;-;-;-;33
"130110 Careiro";2;2;-;3;27;2;1;-;8;1;8;1;2;-;-;-;1;1;59
"130115 Careiro da Várzea";2;-;-;1;7;1;-;-;7;1;6;2;3;-;-;-;-;-;30
"130120 Coari";17;5;-;7;78;21;4;3;24;11;13;1;3;-;-;-;5;5;197
"130130 Codajás";1;1;-;2;10;2;-;-;10;-;6;-;2;-;-;-;-;-;34
"130140 Eirunepé";4;4;-;4;34;2;-;-;9;3;8;-;4;-;-;-;1;4;77
"130150 Envira";2;1;-;3;12;2;-;-;8;3;7;-;1;-;-;-;-;3;42
"130160 Fonte Boa";2;1;-;2;20;5;1;-;5;2;8;-;1;-;-;-;-;4;51
"130165 Guajará";2;-;1;3;11;1;-;-;5;1;6;-;1;1;-;-;-;1;33
"130170 Humaitá";4;2;4;11;37;11;2;1;11;5;22;1;4;1;1;-;3;6;126
"130180 Ipixuna";1;-;1;1;10;1;-;-;4;1;4;-;1;-;-;-;-;-;24
"130185 Iranduba";15;2;7;6;47;14;4;1;18;5;32;2;7;1;1;-;1;2;165
"130190 Itacoatiara";22;10;3;20;79;13;2;4;27;5;32;2;12;2;2;-;5;3;243
"130195 Itamarati";-;-;-;-;4;-;-;-;3;-;3;-;-;-;-;-;-;-;10
"130200 Itapiranga";1;-;1;-;7;1;-;-;3;-;5;1;1;-;-;-;-;1;21
"130210 Japurá";-;-;-;-;7;-;-;-;5;-;4;-;-;-;-;-;-;-;16
"130220 Juruá";-;-;-;-;8;-;-;-;5;-;3;1;-;-;-;-;-;-;17
"130230 Jutaí";1;1;-;-;8;1;-;-;8;1;3;-;1;-;-;-;-;1;25
"130240 Lábrea";1;-;-;10;19;4;1;-;7;2;11;2;1;-;-;-;-;1;59
"130250 Manacapuru";18;4;2;5;60;6;4;3;19;5;14;3;6;-;-;-;4;2;155
"130255 Manaquiri";2;2;-;5;21;4;-;-;5;1;5;-;1;-;-;-;1;1;48
"130260 Manaus";386;248;161;720;2289;341;143;258;139;132;944;596;292;19;73;-;1173;89;8003
"130270 Manicoré";5;1;1;2;20;1;1;-;10;1;9;1;2;-;-;-;-;2;56
"130280 Maraã";-;1;-;2;8;2;-;-;6;-;2;-;-;-;-;-;-;1;22
"130290 Maués";6;3;-;2;41;4;1;-;20;3;14;-;2;-;-;-;-;1;97
"130300 Nhamundá";3;1;-;1;12;1;1;-;4;-;4;-;1;-;-;-;-;2;30
"130310 Nova Olinda do Norte";3;2;-;1;15;4;1;-;9;3;11;1;3;-;-;-;-;3;56
"130320 Novo Airão";1;1;-;1;8;2;1;-;5;-;5;-;1;-;-;-;-;-;25
"130330 Novo Aripuanã";4;-;-;1;14;3;-;-;4;3;7;-;3;-;-;-;-;-;39
"130340 Parintins";18;7;4;16;65;18;4;1;17;6;27;3;8;-;2;-;3;6;205
"130350 Pauini";1;1;-;-;10;2;-;-;5;3;4;-;1;-;-;-;-;-;27
"130353 Presidente Figueiredo";9;1;-;6;23;3;-;2;12;1;17;1;1;-;1;-;1;-;78
"130356 Rio Preto da Eva";13;6;-;5;28;2;1;1;10;2;12;-;13;-;-;-;1;3;97
"130360 Santa Isabel do Rio Negro";-;1;-;-;19;2;-;-;4;2;7;1;-;-;-;-;-;1;37
"130370 Santo Antônio do Içá";1;1;-;1;21;1;1;-;6;-;10;-;1;-;-;-;-;1;44
"130380 São Gabriel da Cachoeira";3;2;1;9;40;2;1;2;17;1;23;2;1;-;-;-;2;6;112
"130390 São Paulo de Olivença";4;1;-;1;27;1;-;-;16;2;9;1;3;-;-;-;-;-;65
"130395 São Sebastião do Uatumã";1;1;-;1;8;1;-;-;5;1;4;-;1;-;-;-;-;1;24
"130400 Silves";1;1;-;-;6;1;-;-;4;1;4;-;1;-;-;-;-;-;19
"130406 Tabatinga";8;10;2;29;49;10;3;2;8;7;23;3;7;-;-;-;1;2;164
"130410 Tapauá";2;-;1;1;13;1;-;-;7;2;7;-;2;-;-;-;-;-;36
"130420 Tefé";8;6;-;13;49;9;1;1;17;3;17;1;6;-;1;-;-;1;133
"130423 Tonantins";2;1;-;3;18;-;-;-;3;1;5;-;1;-;-;-;-;-;34
"130426 Uarini";1;2;-;-;8;1;1;-;4;1;2;-;2;-;-;-;-;2;24
"130430 Urucará";2;1;-;1;10;2;1;-;4;1;5;-;1;-;-;-;-;-;28
"130440 Urucurituba";1;1;-;1;10;1;-;-;6;1;4;-;1;-;-;-;-;-;26
"140005 Alto Alegre";3;2;-;10;39;2;-;-;6;-;11;-;2;1;-;-;-;1;77
"140002 Amajari";1;1;-;4;19;3;-;-;3;1;8;-;1;-;-;-;-;-;41
"140010 Boa Vista";109;109;24;273;490;160;46;37;37;53;193;54;105;7;13;-;185;174;2069
"140015 Bonfim";2;2;-;1;8;2;-;-;4;1;9;1;2;-;-;-;-;1;33
"140017 Cantá";1;2;-;-;11;1;-;-;5;-;4;-;1;-;-;-;-;1;26
"140020 Caracaraí";3;3;-;4;22;3;-;-;5;1;13;-;2;-;-;-;-;-;56
"140023 Caroebe";-;2;-;2;7;2;-;-;2;-;7;-;1;-;-;-;-;-;23
"140028 Iracema";2;2;-;3;13;1;-;-;2;2;6;-;3;-;-;-;-;3;37
"140030 Mucajaí";2;2;-;5;14;4;-;-;3;-;12;-;3;-;1;-;-;1;47
"140040 Normandia";1;2;-;3;19;2;1;-;2;-;10;-;-;-;-;-;-;-;40
"140045 Pacaraima";2;2;-;8;33;3;-;-;3;-;14;-;2;-;-;-;-;-;67
"140047 Rorainópolis";1;6;3;3;27;2;-;-;8;2;8;1;2;-;-;-;1;3;67
"140050 São João da Baliza";-;1;-;2;7;1;-;-;1;-;3;-;-;-;-;-;-;-;15
"140060 São Luiz";-;2;-;1;6;2;-;-;2;-;4;-;1;-;-;-;-;-;18
"140070 Uiramutã";1;1;-;8;30;1;-;-;3;-;13;-;-;-;-;-;-;-;57
"150010 Abaetetuba";12;5;-;35;68;6;2;3;12;8;37;11;8;2;1;-;17;8;235
"150013 Abel Figueiredo";-;1;-;-;6;1;1;-;1;1;2;1;1;1;-;-;-;2;18
"150020 Acará";1;1;1;5;12;3;-;-;6;1;6;1;1;-;-;-;2;2;42
"150030 Afuá";1;-;-;3;13;-;-;-;2;1;2;-;-;-;1;-;-;1;24
"150034 Água Azul do Norte";2;2;1;3;12;2;1;-;5;-;5;-;3;1;-;-;-;3;40
"150040 Alenquer";1;2;-;9;17;4;1;-;9;2;3;1;1;-;-;-;-;-;50
"150050 Almeirim";1;-;-;9;19;5;-;-;7;-;8;2;1;-;-;-;2;2;56
"150060 Altamira";13;20;3;36;148;24;7;5;19;11;35;14;8;1;7;-;36;20;407
"150070 Anajás";1;-;-;-;8;1;-;-;3;1;1;-;-;-;-;-;-;1;16
"150080 Ananindeua";77;21;24;143;384;96;24;21;57;37;124;63;55;5;13;-;204;89;1437
"150085 Anapu";1;2;-;5;15;1;-;-;6;1;2;-;1;-;-;-;-;1;35
"150090 Augusto Corrêa";3;1;-;4;17;3;3;-;7;2;11;1;2;-;-;-;-;1;55
"150095 Aurora do Pará";3;-;-;2;11;2;-;-;3;1;5;2;2;-;-;-;-;3;34
"150100 Aveiro";-;1;-;-;9;-;-;-;6;-;1;-;-;-;-;-;-;1;18
"150110 Bagre";-;-;-;1;8;-;-;-;5;1;1;1;-;-;-;-;-;1;18
"150120 Baião";4;1;-;3;19;1;-;-;8;3;4;1;2;-;-;-;1;3;50
"150125 Bannach";1;1;-;3;5;1;-;-;2;-;2;-;1;-;-;-;1;1;18
"150130 Barcarena";13;4;2;26;56;12;7;4;20;8;34;15;13;-;2;-;25;7;248
"150140 Belém";403;313;79;1039;1501;576;198;221;79;284;1001;337;456;38;74;5;1438;394;8436
"150145 Belterra";1;-;-;4;9;1;-;-;3;-;4;1;1;-;-;-;1;-;25
"150150 Benevides";10;2;-;4;43;12;1;1;14;6;20;3;5;-;1;-;3;8;133
"150157 Bom Jesus do Tocantins";2;1;-;3;10;1;-;-;4;1;4;-;1;-;-;-;-;1;28
"150160 Bonito";2;2;-;2;11;2;1;-;2;1;4;-;1;-;-;-;-;1;29
"150170 Bragança";20;7;6;29;86;19;4;-;22;7;23;6;15;-;2;-;22;14;282
"150172 Brasil Novo";2;-;-;4;11;2;1;-;2;1;6;-;1;1;-;-;-;2;33
"150175 Brejo Grande do Araguaia";-;1;1;-;4;2;-;-;2;-;1;-;-;-;-;-;-;-;11
"150178 Breu Branco";1;1;-;10;27;2;-;1;5;1;2;1;1;-;-;-;5;1;58
"150180 Breves";7;4;1;19;69;7;1;-;13;6;7;3;4;1;2;-;4;7;155
"150190 Bujaru";1;-;-;3;13;2;-;-;3;1;7;1;1;-;-;-;1;1;34
"150200 Cachoeira do Arari";1;-;-;2;9;-;-;-;2;1;2;2;-;-;-;-;-;1;20
"150195 Cachoeira do Piriá";2;1;-;1;15;2;-;-;6;1;6;-;1;-;-;-;-;4;39
"150210 Cametá";18;6;7;7;58;5;4;-;13;5;11;3;6;1;-;-;3;12;159
"150215 Canaã dos Carajás";4;8;2;29;60;14;6;5;2;6;48;6;7;-;2;-;11;24;234
"150220 Capanema";17;5;2;34;56;14;-;-;5;7;27;4;10;1;1;-;7;16;206
"150230 Capitão Poço";2;2;2;5;15;4;1;-;2;1;7;-;-;-;-;-;1;3;45
"150240 Castanhal";22;13;2;64;130;27;15;3;23;14;58;13;22;-;4;-;23;26;459
"150250 Chaves";1;-;-;1;9;-;-;-;4;-;2;-;1;-;-;-;-;1;19
"150260 Colares";1;-;-;1;7;1;-;-;5;1;3;1;2;-;1;-;-;1;24
"150270 Conceição do Araguaia";8;4;3;21;51;8;3;3;6;3;20;6;8;1;1;-;17;10;173
"150275 Concórdia do Pará";1;-;-;2;9;1;-;-;1;1;6;1;2;-;-;-;1;1;26
"150276 Cumaru do Norte";2;1;-;2;13;1;-;-;3;-;3;-;-;-;-;-;-;1;26
"150277 Curionópolis";2;1;-;6;11;4;1;-;4;1;6;-;2;-;-;-;3;3;44
"150280 Curralinho";3;-;1;1;12;1;1;-;4;1;2;-;1;-;-;-;-;5;32
"150285 Curuá";-;-;-;1;16;-;-;-;4;1;1;-;-;-;-;-;-;1;24
"150290 Curuçá";2;1;-;1;19;6;-;-;5;1;5;-;2;-;-;-;-;4;46
"150293 Dom Eliseu";3;4;1;5;24;2;1;-;9;3;23;1;1;1;1;-;2;3;84
"150295 Eldorado do Carajás";3;-;-;3;12;5;1;-;6;1;5;-;2;1;-;-;1;3;43
"150300 Faro";1;1;-;-;8;1;-;-;3;1;2;1;1;-;-;-;-;1;20
"150304 Floresta do Araguaia";3;2;-;1;7;2;-;-;4;1;5;1;1;-;-;-;-;5;32
"150307 Garrafão do Norte";2;-;-;2;9;1;-;-;3;1;4;-;1;-;-;-;-;1;24
"150309 Goianésia do Pará";3;1;-;2;19;3;1;-;6;2;5;2;1;-;-;-;2;-;47
"150310 Gurupá";2;1;-;1;10;1;-;-;4;1;4;-;-;-;-;-;-;1;25
"150320 Igarapé-Açu";5;-;-;3;27;5;2;2;7;5;11;2;6;-;-;-;2;2;79
"150330 Igarapé-Miri";6;1;1;16;22;5;1;1;8;5;7;1;3;-;-;-;-;5;82
"150340 Inhangapi";2;-;-;1;11;-;-;-;4;-;3;-;-;1;1;-;-;2;25
"150345 Ipixuna do Pará";3;1;-;4;21;4;1;-;10;3;5;1;1;-;-;-;-;1;55
"150350 Irituia";6;-;-;1;16;1;-;-;6;2;7;-;1;-;-;-;-;2;42
"150360 Itaituba";9;7;-;8;63;6;1;1;15;4;11;1;5;1;-;-;5;7;144
"150370 Itupiranga";1;-;-;8;20;3;-;-;7;-;6;1;1;-;-;-;1;1;49
"150375 Jacareacanga";2;3;-;8;32;-;-;-;3;-;2;-;-;-;-;-;-;1;51
"150380 Jacundá";3;8;-;8;26;2;-;1;10;3;6;1;2;-;-;-;1;3;74
"150390 Juruti";2;2;3;6;38;4;1;7;5;2;8;-;4;1;1;-;12;2;98
"150400 Limoeiro do Ajuru";2;-;-;2;11;-;-;-;3;1;4;1;1;-;-;-;-;1;26
"150405 Mãe do Rio";4;-;-;-;16;3;1;-;10;2;3;5;2;-;-;-;2;3;51
"150410 Magalhães Barata";-;1;-;-;5;1;-;-;2;1;1;-;-;-;-;-;-;-;11
"150420 Marabá";26;23;8;65;185;63;19;20;17;20;74;20;24;-;12;-;68;39;683
"150430 Maracanã";-;-;1;2;20;-;-;-;5;1;5;-;1;-;-;-;-;4;39
"150440 Marapanim";4;1;-;3;17;2;1;-;6;1;3;-;1;-;-;-;-;1;40
"150442 Marituba";26;9;2;28;77;15;3;3;13;9;33;3;14;-;1;-;15;12;263
"150445 Medicilândia";1;1;-;2;9;2;-;-;6;-;4;-;1;-;-;-;-;-;26
"150450 Melgaço";3;-;-;1;12;1;-;-;13;2;2;-;1;-;-;-;-;3;38
"150460 Mocajuba";2;1;-;-;13;3;-;1;5;1;7;2;1;-;-;-;-;2;38
"150470 Moju";5;1;-;3;20;3;1;-;2;3;8;1;3;-;-;-;2;4;56
"150475 Mojuí dos Campos";-;2;-;-;16;-;-;-;3;-;-;-;-;-;-;-;-;-;21
"150480 Monte Alegre";2;1;1;6;34;3;1;2;8;1;3;2;1;-;-;-;1;-;66
"150490 Muaná";2;1;-;2;11;1;1;-;8;2;2;1;1;-;-;-;-;1;33
"150495 Nova Esperança do Piriá";1;1;-;1;8;-;-;-;4;1;2;-;-;-;-;-;-;2;20
"150497 Nova Ipixuna";1;1;-;2;6;1;-;-;2;1;3;-;1;-;-;-;-;-;18
"150500 Nova Timboteua";2;-;-;-;1;1;-;-;5;1;5;-;1;-;-;-;1;2;19
"150503 Novo Progresso";3;1;1;3;30;3;-;-;8;2;6;-;2;-;-;-;-;2;61
"150506 Novo Repartimento";2;3;-;3;32;4;1;1;10;1;3;6;1;-;-;-;2;4;73
"150510 Óbidos";2;2;-;3;37;7;1;-;8;-;9;2;2;1;-;-;2;2;78
"150520 Oeiras do Pará";1;1;-;-;12;2;-;-;5;1;2;1;1;-;-;-;-;-;26
"150530 Oriximiná";2;5;5;23;44;7;3;3;13;4;12;2;4;-;-;-;6;3;136
"150540 Ourém";2;1;-;-;12;1;-;-;6;1;7;-;2;1;-;-;-;3;36
"150543 Ourilândia do Norte";3;2;-;12;21;3;2;-;6;2;23;-;3;-;1;-;-;5;83
"150548 Pacajá";3;1;-;3;18;2;-;-;7;1;3;-;1;-;-;-;-;4;43
"150549 Palestina do Pará";1;-;-;3;5;1;-;-;2;-;3;-;-;-;-;-;-;-;15
"150550 Paragominas";10;16;1;33;97;19;9;2;21;5;45;3;5;1;1;-;16;8;292
"150553 Parauapebas";21;22;7;87;140;41;18;11;10;21;149;13;26;2;2;-;48;20;638
"150555 Pau D'Arco";1;2;-;1;9;1;-;-;1;1;4;-;-;-;-;-;-;1;21
"150560 Peixe-Boi";1;-;-;1;4;1;-;-;4;-;5;-;-;-;-;-;1;-;17
"150563 Piçarra";-;3;-;3;8;2;-;-;5;1;4;-;1;-;-;-;-;1;28
"150565 Placas";1;1;-;1;4;1;-;-;3;-;2;-;-;-;-;-;-;1;14
"150570 Ponta de Pedras";1;-;-;3;9;1;-;-;5;1;4;-;1;-;-;-;-;2;27
"150580 Portel";3;1;-;7;22;2;1;-;9;1;6;-;1;-;-;-;-;3;56
"150590 Porto de Moz";1;-;-;-;13;2;1;-;7;-;1;-;2;-;-;-;-;3;30
"150600 Prainha";1;-;-;-;19;-;-;-;7;-;2;2;1;-;-;-;-;-;32
"150610 Primavera";1;-;-;1;7;-;1;-;5;1;5;-;1;-;-;-;-;1;23
"150611 Quatipuru";-;-;-;1;4;1;-;-;2;-;4;-;-;-;-;-;-;1;13
"150613 Redenção";16;14;3;17;71;14;6;6;11;6;30;6;9;-;1;-;22;14;246
"150616 Rio Maria";1;1;-;1;13;2;1;-;4;1;6;-;2;-;-;-;-;4;36
"150618 Rondon do Pará";2;2;-;4;19;2;-;1;2;3;15;2;2;-;-;-;-;3;57
"150619 Rurópolis";1;2;-;2;20;1;-;-;5;1;2;1;1;-;-;-;-;1;37
"150620 Salinópolis";4;1;1;9;24;2;1;1;11;2;19;1;1;1;-;-;1;4;83
"150630 Salvaterra";1;-;-;1;8;2;1;-;4;1;5;1;1;-;-;-;-;-;25
"150635 Santa Bárbara do Pará";1;1;-;1;11;1;-;-;3;2;5;1;-;-;-;-;-;2;28
"150640 Santa Cruz do Arari";-;-;-;1;5;-;-;-;2;1;2;-;-;-;-;-;-;2;13
"150650 Santa Izabel do Pará";15;2;-;11;29;5;1;-;7;4;26;1;16;-;-;-;3;8;128
"150655 Santa Luzia do Pará";1;-;-;1;12;1;-;-;3;1;5;-;1;-;-;-;-;-;25
"150658 Santa Maria das Barreiras";2;-;-;1;11;2;-;-;3;1;5;-;2;-;-;-;-;5;32
"150660 Santa Maria do Pará";1;-;-;5;11;3;1;-;3;1;5;1;1;1;-;-;1;-;34
"150670 Santana do Araguaia";5;3;1;4;21;5;-;-;11;1;9;1;2;-;-;-;-;7;70
"150680 Santarém";25;32;7;53;288;52;15;5;35;16;63;16;31;-;7;-;79;25;749
"150690 Santarém Novo";1;-;-;-;6;-;-;-;1;1;4;-;-;-;-;-;-;2;15
"150700 Santo Antônio do Tauá";3;-;-;4;16;-;1;-;3;1;12;-;-;-;-;-;-;2;42
"150710 São Caetano de Odivelas";1;1;-;1;10;1;-;-;5;1;7;-;-;-;-;-;-;2;29
"150715 São Domingos do Araguaia";3;1;-;3;8;4;-;-;1;1;2;-;2;1;-;-;-;3;29
"150720 São Domingos do Capim";3;-;-;5;20;2;-;-;7;1;5;1;1;-;-;-;-;3;48
