CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2017
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"110001 Alta Floresta D'Oeste";4;4;1;9;19;2;1;-;3;2;7;-;1;-;-;-;3;1;57
"110037 Alto Alegre dos Parecis";1;-;-;3;8;3;1;-;5;1;2;-;1;-;-;-;-;1;26
"110040 Alto Paraíso";-;1;-;1;11;2;-;-;5;1;-;-;1;-;-;-;-;1;23
"110034 Alvorada D'Oeste";1;1;-;5;12;3;-;-;1;-;6;1;1;-;-;-;-;1;32
"110002 Ariquemes";5;13;7;68;78;25;5;15;14;8;24;10;24;2;6;-;33;13;350
"110045 Buritis";2;2;-;2;26;5;2;-;6;3;8;15;3;-;1;-;-;3;78
"110003 Cabixi";1;2;-;6;5;2;-;-;1;1;2;-;2;-;-;-;-;3;25
"110060 Cacaulândia";-;1;-;2;3;1;-;-;1;-;1;-;-;-;-;-;-;-;9
"110004 Cacoal";19;61;9;63;129;49;7;11;12;15;135;21;28;2;6;-;125;17;709
"110070 Campo Novo de Rondônia";1;2;-;4;11;1;1;-;4;1;2;-;-;-;-;-;-;-;27
"110080 Candeias do Jamari";-;-;-;8;16;3;-;-;6;-;6;-;-;-;1;-;-;2;42
"110090 Castanheiras";-;-;-;2;4;-;-;-;1;1;2;-;-;-;-;-;-;-;10
"110005 Cerejeiras";1;7;-;8;14;4;-;-;4;-;7;-;2;-;-;-;-;5;52
"110092 Chupinguaia";1;1;-;1;6;-;2;-;4;-;3;-;2;-;-;-;-;1;21
"110006 Colorado do Oeste";1;1;-;12;15;3;1;-;5;-;4;1;2;-;-;-;2;2;49
"110007 Corumbiara";-;-;-;2;7;-;-;-;3;-;1;-;-;-;-;-;-;-;13
"110008 Costa Marques";1;-;-;4;10;1;1;-;5;-;4;-;-;-;-;-;-;1;27
"110094 Cujubim";-;1;-;1;8;1;-;-;3;-;2;-;2;-;-;-;-;3;21
"110009 Espigão D'Oeste";2;1;1;13;17;7;1;1;6;1;11;1;3;-;-;-;1;3;69
"110100 Governador Jorge Teixeira";2;2;-;2;8;1;-;-;3;-;-;-;-;-;-;-;-;-;18
"110010 Guajará-Mirim";4;3;4;18;40;5;1;1;17;4;17;2;4;-;-;-;-;5;125
"110110 Itapuã do Oeste";-;1;-;1;6;-;-;-;2;1;2;-;-;-;-;-;-;1;14
"110011 Jaru";6;27;1;14;40;9;3;3;9;2;42;3;7;1;-;-;4;8;179
"110012 Ji-Paraná";11;66;2;80;104;40;11;9;20;12;108;15;28;-;5;-;44;25;580
"110013 Machadinho D'Oeste";2;3;-;3;25;2;1;-;7;3;6;-;1;-;-;-;1;1;55
"110120 Ministro Andreazza";-;1;-;2;5;1;-;-;1;-;2;-;-;-;-;-;-;1;13
"110130 Mirante da Serra";-;1;-;4;4;-;-;-;3;-;1;-;-;-;-;-;-;-;13
"110140 Monte Negro";-;1;-;2;12;2;-;-;4;1;1;-;-;-;1;-;-;2;26
"110014 Nova Brasilândia D'Oeste";1;1;-;5;11;6;1;-;3;1;5;-;4;-;-;-;1;5;44
"110033 Nova Mamoré";-;1;-;4;18;5;1;-;3;1;2;-;-;-;-;-;-;3;38
"110143 Nova União";-;-;-;1;4;1;-;-;2;-;1;-;-;-;-;-;-;-;9
"110050 Novo Horizonte do Oeste";-;1;-;2;8;1;-;-;4;-;1;-;-;-;-;-;-;1;18
"110015 Ouro Preto do Oeste";2;2;-;10;11;9;1;2;11;-;13;1;5;1;-;-;3;11;82
"110145 Parecis";-;-;-;1;2;1;-;-;2;-;1;-;-;-;-;-;-;-;7
"110018 Pimenta Bueno";5;29;-;11;26;11;-;3;5;1;30;2;6;-;-;-;4;4;137
"110146 Pimenteiras do Oeste";2;-;-;-;6;1;-;-;1;-;3;-;1;-;-;-;-;2;16
"110020 Porto Velho";102;108;33;317;690;187;82;56;58;84;352;99;158;12;48;-;437;207;3030
"110025 Presidente Médici";4;4;-;8;16;4;-;-;4;-;4;-;3;-;-;-;-;3;50
"110147 Primavera de Rondônia";-;1;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"110026 Rio Crespo";-;1;-;2;4;-;-;-;1;-;1;-;-;-;-;-;-;-;9
"110028 Rolim de Moura";2;7;1;14;27;12;2;6;13;1;48;2;14;-;5;-;10;7;171
"110029 Santa Luzia D'Oeste";-;1;-;1;6;1;-;-;1;-;-;-;-;-;-;-;-;1;11
"110148 São Felipe D'Oeste";1;-;-;3;3;1;-;-;1;-;1;-;-;-;-;-;-;-;10
"110149 São Francisco do Guaporé";4;3;1;8;20;4;-;-;6;2;5;1;3;-;-;-;1;-;58
"110032 São Miguel do Guaporé";3;1;-;7;10;4;-;-;2;1;5;-;1;-;-;-;-;-;34
"110150 Seringueiras";-;1;-;4;5;1;-;-;3;1;3;-;-;-;-;-;-;2;20
"110155 Teixeirópolis";-;1;-;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"110160 Theobroma";-;-;-;4;6;1;-;-;4;-;-;-;-;-;-;-;-;1;16
"110170 Urupá";-;1;-;2;7;1;-;-;3;-;2;-;-;-;-;-;-;1;17
"110175 Vale do Anari";1;-;-;1;6;-;-;-;2;-;2;-;1;-;-;-;-;-;13
"110180 Vale do Paraíso";-;1;-;-;7;-;-;-;2;-;1;-;-;-;-;-;-;-;11
"110030 Vilhena";13;14;3;40;98;34;10;8;21;10;101;10;49;3;18;-;37;15;484
"120001 Acrelândia";1;1;-;3;6;1;-;-;3;1;5;-;1;-;-;-;-;2;24
"120005 Assis Brasil";1;1;-;3;12;1;-;-;3;1;4;-;1;-;-;-;-;1;28
"120010 Brasiléia";2;1;2;12;31;2;-;1;8;1;12;2;4;-;-;-;3;3;84
"120013 Bujari";-;1;-;1;5;1;-;-;2;-;3;-;1;-;-;-;-;-;14
"120017 Capixaba";1;1;-;-;7;1;1;-;2;-;3;-;2;-;-;-;-;1;19
"120020 Cruzeiro do Sul";19;8;2;39;125;21;5;12;27;7;28;15;12;1;2;-;14;15;352
"120025 Epitaciolândia";2;-;-;-;13;2;-;-;6;1;6;-;2;-;-;-;-;3;35
"120030 Feijó";1;-;-;4;14;3;1;1;7;1;3;-;2;-;-;-;-;-;37
"120032 Jordão";-;-;-;3;9;-;-;-;1;-;3;-;1;-;-;-;-;-;17
"120033 Mâncio Lima";3;-;-;-;19;1;-;1;6;2;8;-;2;-;-;-;-;2;44
"120034 Manoel Urbano";-;1;-;3;8;-;-;-;4;-;3;-;-;-;-;-;-;-;19
"120035 Marechal Thaumaturgo";1;-;-;2;6;1;-;-;4;1;5;-;1;-;-;-;-;1;22
"120038 Plácido de Castro";3;-;-;6;21;2;-;-;5;2;8;-;2;-;-;-;-;1;50
