CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2014
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"110001 Alta Floresta D'Oeste";3;1;1;6;16;2;1;-;3;-;6;-;2;-;-;-;1;2;44
"110037 Alto Alegre dos Parecis";1;1;-;2;7;2;1;-;3;1;1;-;2;-;-;-;-;-;21
"110040 Alto Paraíso";-;2;-;3;11;1;-;-;5;1;1;-;-;-;-;-;-;1;25
"110034 Alvorada D'Oeste";1;-;-;1;10;3;-;-;2;-;2;1;1;-;-;-;-;1;22
"110002 Ariquemes";1;8;5;38;59;16;2;12;11;3;23;9;11;2;2;-;26;14;242
"110045 Buritis";2;1;-;2;21;4;2;-;3;3;8;12;3;-;1;-;1;4;67
"110003 Cabixi";1;-;-;4;4;1;-;-;1;1;1;-;1;-;-;-;-;1;15
"110060 Cacaulândia";-;1;-;2;5;1;-;-;1;-;2;-;-;-;-;-;-;-;12
"110004 Cacoal";12;16;1;76;93;38;4;6;22;16;98;14;20;2;5;-;65;19;507
"110070 Campo Novo de Rondônia";1;1;-;5;9;-;-;-;3;-;1;-;-;-;-;-;-;-;20
"110080 Candeias do Jamari";-;1;-;3;14;-;-;-;7;-;6;1;-;-;1;-;-;1;34
"110090 Castanheiras";-;-;-;-;2;1;-;-;2;1;1;-;-;-;-;-;-;-;7
"110005 Cerejeiras";1;5;-;6;14;3;1;-;4;-;12;-;2;-;-;-;2;4;54
"110092 Chupinguaia";-;1;-;1;3;1;-;-;4;1;3;-;-;-;-;-;-;1;15
"110006 Colorado do Oeste";1;-;1;9;14;3;-;-;5;1;4;-;1;-;-;-;3;1;43
"110007 Corumbiara";-;-;-;2;3;-;-;-;3;-;1;-;-;-;-;-;-;-;9
"110008 Costa Marques";-;-;-;3;6;1;-;-;4;-;5;-;-;-;-;-;-;2;21
"110094 Cujubim";-;2;-;1;8;-;-;-;4;-;1;-;-;-;-;-;-;3;19
"110009 Espigão D'Oeste";1;-;-;9;13;4;-;1;5;-;6;1;2;-;-;-;1;2;45
"110100 Governador Jorge Teixeira";2;-;-;4;6;-;-;-;3;-;2;-;-;-;-;-;-;-;17
"110010 Guajará-Mirim";3;2;3;18;32;4;2;1;12;4;10;3;4;1;-;-;1;4;104
"110110 Itapuã do Oeste";-;-;-;1;5;-;-;-;1;-;1;-;-;-;-;-;-;2;10
"110011 Jaru";5;3;-;10;17;8;4;2;5;2;36;2;5;1;1;-;5;8;114
"110012 Ji-Paraná";10;23;2;53;74;25;10;8;22;8;76;10;24;-;3;-;42;17;407
"110013 Machadinho D'Oeste";1;2;1;5;17;1;1;1;7;1;7;-;-;-;-;-;1;1;46
"110120 Ministro Andreazza";-;1;-;2;6;1;-;-;3;-;2;-;-;-;-;-;-;1;16
"110130 Mirante da Serra";-;1;-;2;8;1;-;-;3;-;3;-;-;-;-;-;-;1;19
"110140 Monte Negro";-;-;-;1;12;2;-;-;4;-;-;-;-;-;1;-;-;3;23
"110014 Nova Brasilândia D'Oeste";1;1;-;3;11;5;1;-;3;1;5;-;3;-;-;-;1;3;38
"110033 Nova Mamoré";-;1;-;3;13;2;1;-;4;2;1;-;-;-;-;-;-;2;29
"110143 Nova União";-;-;-;3;4;1;-;-;2;-;-;-;-;-;-;-;-;-;10
"110050 Novo Horizonte do Oeste";-;1;-;-;8;1;-;-;2;-;2;-;-;-;-;-;-;-;14
"110015 Ouro Preto do Oeste";2;1;-;16;12;5;-;2;10;-;12;2;3;1;1;-;2;7;76
"110145 Parecis";-;-;-;1;3;-;-;-;2;-;1;-;-;-;-;-;-;-;7
"110018 Pimenta Bueno";3;28;-;12;20;7;-;1;9;1;26;2;2;-;-;-;-;2;113
"110146 Pimenteiras do Oeste";1;-;-;-;4;1;-;-;-;-;1;-;-;-;-;-;-;1;8
"110020 Porto Velho";83;69;33;308;523;156;66;59;63;69;341;92;148;11;33;-;331;148;2533
"110025 Presidente Médici";4;4;-;7;11;4;-;-;4;1;7;-;1;-;-;-;-;2;45
"110147 Primavera de Rondônia";-;-;-;-;6;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"110026 Rio Crespo";-;1;-;1;4;-;-;-;2;-;-;-;-;-;-;-;-;-;8
"110028 Rolim de Moura";4;6;2;15;24;12;1;2;13;1;30;-;9;-;3;-;8;6;136
"110029 Santa Luzia D'Oeste";-;1;-;2;3;-;-;-;1;-;-;-;-;-;-;-;-;1;8
"110148 São Felipe D'Oeste";-;1;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;2;9
"110149 São Francisco do Guaporé";3;3;-;6;10;3;-;-;7;1;6;1;2;1;-;-;-;2;45
"110032 São Miguel do Guaporé";3;1;-;9;10;2;-;-;3;-;4;1;1;-;-;-;-;1;35
"110150 Seringueiras";-;-;-;1;7;2;-;-;4;1;3;-;-;-;-;-;-;2;20
"110155 Teixeirópolis";-;-;-;2;4;-;-;-;1;-;2;-;-;-;-;-;-;1;10
"110160 Theobroma";-;-;-;3;7;1;-;-;1;-;-;-;-;-;-;-;-;1;13
"110170 Urupá";-;-;-;3;3;2;-;-;2;-;1;-;-;-;-;-;1;1;13
"110175 Vale do Anari";1;2;-;2;4;-;-;-;-;-;2;-;-;-;-;-;-;-;11
"110180 Vale do Paraíso";-;1;-;3;8;-;-;-;2;-;1;-;-;-;-;-;-;-;15
"110030 Vilhena";8;7;2;23;74;30;9;5;29;10;78;7;29;1;4;-;32;13;361
"120001 Acrelândia";1;1;-;5;10;2;-;-;3;1;5;1;-;-;-;-;-;1;30
"120005 Assis Brasil";-;1;-;2;10;1;-;-;3;-;3;-;-;-;-;-;-;2;22
"120010 Brasiléia";3;-;1;11;45;3;1;-;9;2;11;2;3;-;-;-;1;5;97
"120013 Bujari";-;1;-;1;5;1;-;-;2;-;2;-;1;-;-;-;-;-;13
"120017 Capixaba";-;1;-;2;6;1;1;-;2;-;2;-;2;-;-;-;-;1;18
"120020 Cruzeiro do Sul";11;5;-;58;111;17;5;1;20;6;28;10;8;1;2;-;8;8;299
"120025 Epitaciolândia";2;1;-;2;13;2;-;-;5;-;7;-;3;-;-;-;-;3;38
"120030 Feijó";1;-;-;6;16;3;1;1;6;1;3;-;1;-;-;-;1;1;41
"120032 Jordão";-;-;-;2;6;-;-;-;2;-;3;-;-;-;-;-;-;-;13
"120033 Mâncio Lima";3;1;-;2;17;1;-;-;7;1;5;-;1;-;-;-;-;-;38
"120034 Manoel Urbano";-;-;-;4;7;-;-;-;4;-;2;-;-;-;-;-;-;-;17
"120035 Marechal Thaumaturgo";1;1;-;2;8;1;-;-;3;-;3;-;-;-;-;-;-;-;19
"120038 Plácido de Castro";3;1;-;7;20;3;-;1;2;1;6;-;1;-;-;-;-;1;46
"120080 Porto Acre";1;1;-;-;7;1;-;-;4;-;2;-;1;-;-;-;-;-;17
"120039 Porto Walter";-;-;-;1;7;-;-;-;3;-;-;-;-;-;-;-;-;1;12
"120040 Rio Branco";59;39;10;230;460;113;24;6;51;36;184;59;64;4;16;-;207;121;1683
"120042 Rodrigues Alves";-;-;-;3;6;1;-;-;3;1;3;-;-;-;-;-;-;-;17
"120043 Santa Rosa do Purus";1;-;-;3;9;1;-;-;2;-;4;-;-;-;-;-;-;-;20
"120050 Sena Madureira";-;1;-;9;21;3;1;-;2;2;13;-;1;-;-;-;-;2;55
"120045 Senador Guiomard";2;1;-;5;18;2;-;-;1;-;5;-;1;-;-;-;-;3;38
"120060 Tarauacá";1;3;-;8;19;1;-;1;7;-;9;-;1;-;-;-;-;2;52
"120070 Xapuri";-;-;-;3;12;2;-;-;6;1;3;-;-;-;-;-;-;2;29
"130002 Alvarães";1;1;-;-;6;1;-;-;2;1;2;3;-;-;-;-;-;-;17
"130006 Amaturá";1;1;-;2;12;-;-;-;2;-;4;2;-;-;-;-;-;-;24
"130008 Anamã";-;-;-;2;4;1;-;-;2;1;2;-;-;-;-;-;-;-;12
"130010 Anori";1;1;-;1;8;-;-;-;6;1;6;-;1;-;-;-;1;1;27
"130014 Apuí";1;-;-;6;9;3;-;-;5;1;4;-;1;-;-;-;-;1;31
"130020 Atalaia do Norte";-;-;-;2;10;1;-;-;3;2;2;-;-;-;-;-;-;-;20
"130030 Autazes";3;1;-;2;23;3;1;-;7;1;11;1;3;-;-;-;-;-;56
"130040 Barcelos";-;1;-;2;13;2;-;1;3;-;4;1;1;-;-;-;-;-;28
"130050 Barreirinha";1;1;-;3;23;2;-;-;5;-;4;-;-;-;-;-;-;2;41
