"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"110147 PRIMAVERA DE RONDONIA";"85,91";"83,56";"76,00";"91,12";"123,19";"188,29";"84,98";"120,77";"87,46";"73,79";"98,93"
"110148 SAO FELIPE D\'OESTE";"74,65";"89,43";"71,69";"79,71";"108,61";"159,09";"77,01";"94,50";"98,59";"81,19";"90,70"
"110149 SAO FRANCISCO DO GUAPORE";"176,11";"318,11";"288,31";"62,78";"105,93";"129,91";"91,48";"128,11";"87,83";"92,68";"114,93"
"110150 SERINGUEIRAS";"94,99";"95,60";"83,71";"84,32";"109,20";"128,17";"73,45";"132,85";"79,93";"74,42";"94,85"
"110155 TEIXEIROPOLIS";"95,65";"131,62";"102,53";"90,43";"158,50";"106,41";"69,31";"90,71";"92,22";"101,11";"100,05"
"110160 THEOBROMA";"68,27";"79,59";"48,18";"66,72";"123,21";"146,64";"76,88";"120,73";"92,76";"78,56";"86,55"
"110170 URUPA";"97,67";"116,70";"95,22";"100,49";"105,13";"105,88";"75,63";"82,80";"86,35";"93,57";"95,58"
"110175 VALE DO ANARI";"92,65";"91,69";"88,11";"92,55";"164,11";"147,87";"17,39";"73,02";"77,00";"109,24";"85,43"
"110180 VALE DO PARAISO";"91,16";"82,25";"61,80";"95,48";"118,72";"94,03";"57,36";"89,50";"83,35";"101,94";"86,10"
"120001 ACRELANDIA";"69,90";"79,53";"68,93";"70,02";"72,27";"65,85";"44,40";"56,29";"72,63";"73,23";"66,23"
"120005 ASSIS BRASIL";"53,96";"55,57";"52,27";"40,93";"20,69";"39,48";"39,27";"41,26";"67,19";"61,30";"47,35"
"120010 BRASILEIA";"87,02";"90,61";"69,81";"62,41";"81,71";"71,43";"57,68";"67,68";"81,85";"68,53";"73,06"
"120013 BUJARI";"77,45";"81,45";"81,13";"73,62";"83,17";"115,17";"54,39";"29,36";"35,88";"38,27";"64,37"
"120017 CAPIXABA";"68,25";"77,07";"54,16";"53,06";"78,22";"85,89";"47,95";"59,36";"71,94";"53,99";"63,82"
"120020 CRUZEIRO DO SUL";"79,22";"95,28";"75,02";"61,87";"47,32";"69,82";"45,79";"55,83";"63,31";"88,56";"66,54"
"120025 EPITACIOLANDIA";"80,60";"83,86";"81,77";"62,43";"51,84";"86,97";"37,86";"82,76";"76,52";"67,43";"68,55"
"120030 FEIJO";"94,23";"86,73";"78,05";"35,23";"51,45";"42,30";"25,55";"47,76";"51,02";"60,59";"54,04"
"120032 JORDAO";"76,03";"82,93";"89,07";"70,95";"65,94";"66,61";"68,91";"82,77";"87,23";"78,65";"75,87"
"120033 MANCIO LIMA";"75,76";"64,19";"80,45";"41,01";"53,36";"65,41";"31,05";"49,73";"67,92";"82,52";"59,40"
"120034 MANOEL URBANO";"70,26";"93,56";"80,60";"41,00";"45,33";"85,76";"47,83";"75,11";"65,34";"39,32";"61,35"
"120035 MARECHAL THAUMATURGO";"90,54";"86,62";"86,52";"53,50";"39,73";"45,23";"27,90";"60,71";"74,02";"70,87";"62,04"
"120038 PLACIDO DE CASTRO";"99,24";"97,56";"82,80";"59,86";"93,01";"139,52";"57,94";"60,26";"55,28";"81,71";"81,83"
"120039 PORTO WALTER";"71,96";"60,36";"23,77";"58,31";"50,06";"81,04";"47,62";"73,15";"77,10";"62,05";"58,97"
"120040 RIO BRANCO";"74,57";"93,65";"81,84";"66,35";"60,82";"78,22";"52,48";"68,52";"75,95";"82,72";"71,81"
"120042 RODRIGUES ALVES";"62,54";"37,92";"64,13";"42,58";"63,07";"102,47";"54,62";"36,90";"44,64";"47,94";"55,95"
"120043 SANTA ROSA DO PURUS";"73,50";"74,64";"78,42";"43,21";"57,43";"87,53";"78,10";"70,53";"115,46";"58,54";"71,05"
"120045 SENADOR GUIOMARD";"86,13";"86,14";"85,03";"63,12";"48,60";"46,96";"29,25";"48,42";"58,58";"85,63";"61,23"
"120050 SENA MADUREIRA";"70,99";"79,23";"64,31";"47,90";"46,29";"70,71";"38,39";"64,74";"80,35";"87,36";"62,63"
