"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"231390 URUOCA";"79,33";"84,72";"78,72";"71,50";"92,47";"106,29";"60,88";"98,72";"100,03";"57,20";"81,94"
"231395 VARJOTA";"74,19";"86,18";"89,43";"76,55";"90,09";"97,73";"56,20";"100,85";"84,86";"79,99";"81,34"
"231400 VARZEA ALEGRE";"78,54";"89,03";"77,19";"76,81";"108,28";"113,63";"59,45";"120,56";"135,89";"84,48";"91,08"
"231410 VICOSA DO CEARA";"75,23";"83,74";"69,03";"73,74";"88,39";"97,69";"70,33";"84,47";"86,34";"87,19";"80,81"
"240010 ACARI";"75,27";"82,16";"75,02";"59,06";"85,96";"91,61";"52,50";"60,38";"79,85";"81,51";"73,08"
"240020 ACU";"76,88";"81,40";"72,63";"63,50";"90,28";"95,02";"38,55";"70,54";"52,53";"59,89";"68,03"
"240030 AFONSO BEZERRA";"74,05";"80,06";"68,46";"69,06";"82,15";"98,70";"16,97";"52,93";"54,23";"68,33";"64,08"
"240040 AGUA NOVA";"87,06";"96,60";"76,73";"70,29";"102,05";"99,01";"80,97";"78,59";"108,80";"114,12";"90,22"
"240050 ALEXANDRIA";"80,95";"83,33";"61,37";"68,44";"85,55";"74,27";"41,00";"53,85";"56,79";"55,52";"66,46"
"240060 ALMINO AFONSO";"77,61";"92,40";"72,13";"52,91";"85,49";"102,82";"58,01";"57,43";"71,00";"98,68";"75,37"
"240070 ALTO DO RODRIGUES";"94,89";"103,16";"89,25";"116,60";"104,03";"136,47";"32,68";"32,92";"75,51";"63,36";"78,94"
"240080 ANGICOS";"60,11";"77,10";"70,91";"71,51";"82,71";"85,80";"44,97";"63,69";"75,23";"78,83";"69,53"
"240090 ANTONIO MARTINS";"62,09";"70,53";"61,47";"73,59";"76,36";"112,71";"64,19";"63,17";"74,57";"82,89";"72,71"
"240100 APODI";"73,61";"91,65";"86,93";"79,24";"95,65";"92,98";"50,43";"57,48";"36,01";"76,84";"73,22"
"240110 AREIA BRANCA";"74,48";"76,98";"86,36";"91,40";"88,52";"96,95";"7,16";"41,58";"58,42";"56,64";"67,36"
"240120 ARES";"68,50";"65,81";"66,72";"84,29";"84,20";"76,65";"64,42";"79,20";"67,20";"82,48";"73,57"
"240130 AUGUSTO SEVERO";"76,52";"101,05";"109,15";"78,59";"135,99";"124,63";"42,06";"55,86";"71,59";"69,87";"86,89"
"240140 BAIA FORMOSA";"68,53";"73,81";"60,88";"66,80";"59,00";"73,83";"44,57";"63,59";"87,50";"69,00";"64,88"
"240145 BARAUNA";"62,76";"72,10";"60,52";"80,38";"76,46";"93,31";"46,54";"70,77";"55,88";"67,79";"67,02"
"240150 BARCELONA";"78,04";"71,65";"86,64";"80,55";"161,96";"99,57";"56,22";"71,97";"90,68";"73,83";"83,88"
"240160 BENTO FERNANDES";"83,33";"72,93";"67,53";"68,60";"60,82";"62,66";"48,64";"55,30";"68,01";"81,33";"66,22"
"240165 BODO";"73,44";"67,41";"57,31";"67,93";"85,95";"125,00";"68,35";"64,29";"110,34";"99,85";"79,22"
"240170 BOM JESUS";"83,42";"120,11";"100,56";"69,01";"89,73";"54,76";"20,81";"39,90";"56,28";"45,66";"65,67"
"240180 BREJINHO";"69,93";"64,03";"72,63";"64,21";"81,33";"103,94";"54,42";"76,73";"77,56";"75,42";"73,08"
"240185 CAICARA DO NORTE";"78,52";"82,44";"66,02";"59,81";"65,07";"119,19";"35,71";"34,27";"47,94";"54,07";"64,71"
"240190 CAICARA DO RIO DO VENTO";"98,70";"118,98";"137,87";"100,72";"89,73";"101,51";"38,47";"72,05";"69,91";"84,09";"85,37"
"240200 CAICO";"84,37";"118,27";"110,20";"78,56";"88,14";"97,44";"40,71";"62,74";"75,21";"64,37";"79,04"
"240210 CAMPO REDONDO";"75,16";"70,68";"55,52";"71,99";"68,39";"91,93";"24,08";"61,34";"67,72";"58,09";"63,55"
"240220 CANGUARETAMA";"76,48";"84,25";"78,44";"69,74";"82,74";"84,13";"45,65";"38,30";"57,20";"59,81";"66,99"
"240230 CARAUBAS";"60,35";"64,68";"55,74";"53,28";"84,05";"100,39";"42,77";"66,01";"63,10";"76,12";"64,61"
"240240 CARNAUBA DOS DANTAS";"75,62";"76,95";"75,44";"87,36";"104,58";"91,11";"64,31";"65,59";"100,26";"78,57";"81,02"
"240250 CARNAUBAIS";"90,77";"91,06";"90,04";"63,60";"100,45";"85,33";"39,23";"45,27";"48,30";"42,60";"69,19"
"240260 CEARA-MIRIM";"67,58";"78,17";"71,47";"71,77";"89,78";"99,14";"49,10";"44,91";"55,82";"53,20";"67,15"
"240270 CERRO CORA";"62,26";"58,22";"65,76";"57,32";"95,20";"86,96";"58,19";"52,15";"77,92";"75,56";"67,59"
"240280 CORONEL EZEQUIEL";"70,39";"54,23";"54,57";"59,92";"103,50";"60,87";"33,35";"75,04";"85,55";"62,33";"65,35"
"240290 CORONEL JOAO PESSOA";"98,36";"81,09";"96,40";"89,94";"100,86";"85,30";"59,02";"72,53";"71,84";"117,02";"85,64"
"240300 CRUZETA";"70,43";"67,81";"74,57";"72,33";"87,38";"72,58";"41,72";"46,08";"78,38";"57,05";"66,85"
"240310 CURRAIS NOVOS";"72,91";"78,82";"73,63";"67,34";"90,39";"91,74";"25,98";"61,02";"61,69";"57,78";"67,91"
"240320 DOUTOR SEVERIANO";"61,55";"53,33";"47,41";"63,49";"72,22";"82,91";"50,14";"58,01";"58,36";"70,81";"61,45"
"240325 PARNAMIRIM";"65,45";"69,97";"68,34";"67,77";"77,98";"84,36";"47,79";"71,22";"64,51";"55,92";"66,38"
"240330 ENCANTO";"82,62";"88,83";"64,67";"56,42";"79,13";"87,76";"49,92";"56,43";"82,91";"83,80";"72,44"
"240340 EQUADOR";"72,17";"58,48";"54,91";"59,83";"128,19";"72,34";"67,71";"90,88";"96,77";"96,69";"76,41"
"240350 ESPIRITO SANTO";"63,84";"61,22";"70,23";"62,66";"76,22";"79,32";"22,06";"66,16";"85,04";"66,27";"62,09"
"240360 EXTREMOZ";"61,76";"59,35";"76,47";"60,42";"90,44";"72,98";"34,72";"50,91";"94,71";"62,58";"64,23"
"240370 FELIPE GUERRA";"63,46";"74,65";"66,50";"65,71";"91,50";"195,74";"60,44";"76,01";"77,24";"71,57";"78,38"
"240375 FERNANDO PEDROZA";"69,22";"78,84";"64,50";"64,31";"106,19";"105,26";"83,12";"87,57";"104,62";"88,77";"82,55"
"240380 FLORANIA";"64,42";"62,33";"56,09";"72,07";"89,60";"78,72";"50,62";"41,01";"73,36";"69,60";"65,67"
"240390 FRANCISCO DANTAS";"56,67";"38,12";"52,33";"75,10";"84,97";"57,18";"38,40";"41,29";"98,94";"82,71";"59,89"
"240400 FRUTUOSO GOMES";"94,89";"118,03";"83,35";"46,16";"60,80";"142,59";"76,43";"83,47";"108,61";"135,76";"89,77"
"240410 GALINHOS";"100,78";"77,78";"136,84";"122,20";"68,96";"121,74";"55,44";"63,53";"85,16";"88,33";"87,66"
"240420 GOIANINHA";"89,21";"100,06";"94,95";"78,55";"98,43";"81,07";"48,01";"71,87";"67,83";"74,99";"79,40"
"240430 GOVERNADOR DIX-SEPT ROSADO";"72,31";"65,67";"55,22";"61,71";"69,02";"66,94";"26,04";"55,19";"69,24";"91,06";"61,79"
"240440 GROSSOS";"73,21";"109,72";"63,35";"67,08";"95,24";"92,36";"36,20";"47,38";"37,94";"46,63";"64,57"
"240450 GUAMARE";"89,36";"125,46";"91,52";"75,88";"93,65";"137,30";"64,53";"94,38";"77,59";"99,49";"91,24"
"240460 IELMO MARINHO";"75,32";"68,21";"70,57";"94,29";"80,55";"91,56";"54,69";"85,96";"67,87";"64,78";"73,70"
"240470 IPANGUACU";"79,95";"122,34";"98,39";"75,10";"82,94";"75,86";"33,24";"58,45";"64,90";"61,82";"72,63"
"240480 IPUEIRA";"81,51";"62,82";"38,46";"91,06";"81,01";"79,13";"81,20";"85,21";"132,93";"95,45";"81,09"
"240485 ITAJA";"80,12";"96,24";"96,09";"78,44";"87,58";"96,30";"62,94";"68,71";"69,80";"82,08";"80,77"
"240490 ITAU";"77,45";"95,54";"75,83";"52,76";"83,65";"94,57";"64,47";"77,35";"72,12";"81,37";"76,74"
"240500 JACANA";"78,63";"64,20";"52,21";"58,51";"78,74";"63,69";"36,23";"52,68";"72,96";"80,34";"63,51"
"240510 JANDAIRA";"67,05";"73,99";"62,74";"71,50";"58,24";"174,94";"42,86";"52,51";"73,49";"69,22";"70,91"
"240520 JANDUIS";"83,57";"93,01";"117,83";"94,72";"109,95";"73,19";"39,21";"57,23";"74,98";"94,07";"83,08"
"240530 JANUARIO CICCO";"77,95";"83,44";"83,55";"61,63";"82,24";"58,18";"32,16";"49,00";"54,52";"53,78";"62,36"
"240540 JAPI";"77,21";"61,16";"66,67";"91,30";"86,14";"47,87";"29,41";"64,10";"59,02";"68,54";"64,73"
"240550 JARDIM DE ANGICOS";"71,66";"83,02";"64,36";"67,33";"76,44";"117,64";"46,23";"83,66";"87,03";"58,62";"74,04"
"240560 JARDIM DE PIRANHAS";"73,42";"84,07";"61,63";"53,27";"100,77";"93,24";"61,89";"65,32";"82,53";"133,68";"78,81"
"240570 JARDIM DO SERIDO";"63,27";"79,39";"73,33";"73,25";"112,41";"116,33";"61,39";"70,48";"96,81";"87,61";"80,48"
"240580 JOAO CAMARA";"83,35";"81,72";"64,97";"63,98";"90,08";"46,55";"43,62";"54,41";"77,04";"66,03";"66,72"
"240590 JOAO DIAS";"91,00";"92,33";"50,71";"71,26";"89,25";"65,84";"31,33";"48,59";"98,99";"83,12";"71,49"
"240600 JOSE DA PENHA";"70,64";"63,31";"59,15";"71,17";"104,81";"69,00";"51,64";"60,19";"91,94";"129,40";"74,57"
"240610 JUCURUTU";"70,96";"83,99";"72,96";"51,56";"74,13";"86,75";"64,16";"69,03";"80,00";"70,99";"71,78"
"240615 JUNDIA";"61,33";"53,51";"48,20";"94,85";"103,60";"93,63";"23,74";"77,08";"161,90";"139,82";"75,82"
"240620 LAGOA D\'ANTA";"80,05";"83,21";"67,53";"73,14";"132,00";"130,67";"46,60";"58,46";"68,34";"75,64";"79,23"
"240630 LAGOA DE PEDRAS";"77,81";"69,53";"68,98";"79,65";"92,69";"114,61";"40,39";"74,31";"55,01";"45,97";"71,84"
"240640 LAGOA DE VELHOS";"84,45";"77,03";"73,78";"90,25";"83,67";"79,23";"44,72";"55,75";"76,49";"42,10";"70,98"
"240650 LAGOA NOVA";"78,61";"81,40";"71,35";"65,94";"92,13";"140,64";"80,38";"75,86";"69,68";"70,36";"81,82"
"240660 LAGOA SALGADA";"79,85";"78,69";"80,23";"66,72";"82,74";"48,47";"49,54";"73,19";"79,42";"78,51";"71,08"
"240670 LAJES";"75,34";"82,75";"72,11";"57,96";"75,80";"84,22";"30,10";"61,17";"64,81";"66,79";"66,86"
"240680 LAJES PINTADAS";"78,57";"78,23";"64,38";"80,40";"66,11";"83,77";"51,32";"49,68";"88,00";"29,90";"66,53"
"240690 LUCRECIA";"93,28";"112,08";"118,03";"58,51";"76,56";"137,32";"83,86";"58,96";"88,89";"195,70";"95,46"
"240700 LUIS GOMES";"66,29";"71,65";"65,63";"49,63";"77,02";"85,30";"51,33";"54,56";"72,94";"77,11";"66,08"
"240710 MACAIBA";"61,10";"72,20";"85,06";"88,10";"100,31";"92,39";"43,48";"69,63";"74,15";"68,64";"73,05"
"240720 MACAU";"86,08";"136,67";"116,23";"90,29";"74,07";"124,83";"24,28";"70,36";"114,02";"57,38";"76,87"
"240725 MAJOR SALES";"76,16";"82,28";"74,14";"71,04";"96,65";"86,96";"82,64";"93,92";"80,29";"102,06";"83,64"
"240730 MARCELINO VIEIRA";"64,45";"69,01";"56,33";"50,04";"71,67";"77,83";"43,23";"59,27";"86,41";"70,34";"63,34"
"240740 MARTINS";"71,11";"59,02";"46,81";"66,21";"110,85";"95,36";"42,84";"64,84";"78,65";"101,57";"71,50"
"240750 MAXARANGUAPE";"55,09";"83,40";"81,77";"64,82";"136,68";"85,69";"16,55";"26,79";"48,76";"49,86";"61,62"
"240760 MESSIAS TARGINO";"65,34";"69,84";"60,90";"70,90";"151,36";"136,26";"60,40";"84,12";"86,59";"83,95";"83,22"
"240770 MONTANHAS";"70,63";"65,73";"67,15";"52,66";"82,41";"62,27";"40,93";"68,75";"87,87";"77,03";"66,42"
"240780 MONTE ALEGRE";"76,30";"68,86";"57,20";"59,00";"96,09";"84,64";"41,30";"52,59";"49,90";"51,49";"64,02"
"240790 MONTE DAS GAMELEIRAS";"91,72";"77,33";"76,76";"62,04";"88,82";"95,79";"36,30";"116,96";"93,62";"163,00";"89,16"
"240800 MOSSORO";"68,97";"87,69";"80,46";"73,35";"84,99";"88,55";"46,99";"87,43";"97,95";"59,00";"75,02"
"240810 NATAL";"67,44";"84,23";"79,04";"59,26";"69,42";"88,63";"39,34";"31,30";"68,24";"75,75";"63,93"
"240820 NISIA FLORESTA";"75,68";"75,16";"76,80";"70,46";"89,59";"88,70";"21,25";"44,25";"55,14";"64,48";"64,18"
"240830 NOVA CRUZ";"72,69";"68,31";"56,26";"50,68";"85,92";"89,41";"54,09";"71,22";"77,58";"46,72";"67,11"
"240840 OLHO-D\'AGUA DO BORGES";"70,15";"45,24";"52,50";"75,81";"68,93";"100,71";"26,04";"40,44";"119,84";"78,48";"61,47"
"240850 OURO BRANCO";"78,14";"93,40";"86,49";"70,31";"96,89";"86,96";"74,63";"90,78";"86,07";"68,01";"82,30"
"240860 PARANA";"78,85";"73,42";"56,84";"68,42";"113,86";"82,37";"90,74";"79,30";"61,80";"78,64";"78,22"
"240870 PARAU";"73,02";"81,89";"71,58";"64,07";"111,61";"94,86";"37,60";"45,41";"50,36";"92,57";"70,37"
"240880 PARAZINHO";"82,21";"87,06";"87,98";"90,75";"103,16";"97,27";"44,78";"62,21";"60,21";"89,01";"80,24"
"240890 PARELHAS";"74,74";"83,46";"70,35";"73,24";"81,20";"82,80";"57,02";"72,13";"68,82";"71,24";"73,26"
"240895 RIO DO FOGO";"77,99";"67,65";"60,64";"71,08";"76,77";"83,21";"23,17";"36,58";"34,65";"31,57";"57,70"
"240910 PASSA E FICA";"68,57";"66,64";"60,99";"76,29";"96,29";"87,75";"35,03";"64,97";"74,39";"82,99";"70,71"
"240920 PASSAGEM";"80,03";"62,96";"61,99";"77,17";"91,69";"76,21";"64,47";"79,00";"75,87";"63,17";"74,20"
"240930 PATU";"69,88";"71,60";"65,07";"67,10";"95,28";"62,09";"51,82";"67,13";"63,85";"93,47";"69,72"
"240933 SANTA MARIA";"90,08";"77,58";"64,64";"69,88";"95,61";"118,51";"76,37";"67,93";"71,25";"73,42";"80,20"
"240940 PAU DOS FERROS";"72,48";"81,43";"71,32";"66,11";"92,03";"109,13";"43,47";"68,27";"74,49";"69,24";"72,79"
"240950 PEDRA GRANDE";"93,34";"82,02";"66,99";"64,31";"97,59";"105,64";"45,38";"78,86";"77,98";"80,15";"78,78"
"240960 PEDRA PRETA";"77,40";"88,03";"44,49";"52,59";"75,36";"127,83";"70,62";"58,77";"37,09";"41,17";"67,85"
"240970 PEDRO AVELINO";"65,62";"57,55";"65,82";"69,46";"118,58";"108,42";"43,81";"90,37";"86,89";"71,16";"75,45"
"240980 PEDRO VELHO";"70,83";"72,34";"69,14";"70,36";"86,50";"70,07";"10,82";"31,24";"35,63";"17,77";"55,68"
"240990 PENDENCIAS";"79,55";"114,48";"112,81";"98,70";"98,04";"205,01";"51,38";"61,58";"80,38";"72,86";"87,64"
"241000 PILOES";"73,51";"68,08";"60,88";"56,68";"124,64";"92,48";"66,51";"82,66";"107,53";"113,95";"80,87"
"241010 POCO BRANCO";"64,00";"71,19";"72,90";"71,87";"48,70";"93,30";"50,97";"72,17";"55,18";"70,38";"64,59"
"241020 PORTALEGRE";"76,04";"82,44";"61,25";"53,04";"64,17";"122,78";"58,97";"69,79";"70,61";"86,94";"72,63"
"241025 PORTO DO MANGUE";"73,71";"77,31";"71,18";"80,40";"87,82";"108,13";"30,68";"59,05";"79,48";"80,40";"74,31"
"241030 SERRA CAIADA";"71,32";"65,47";"46,79";"52,43";"73,71";"97,64";"49,32";"80,70";"55,93";"68,32";"65,62"
"241040 PUREZA";"87,71";"82,26";"75,04";"56,89";"93,61";"88,27";"26,43";"45,77";"84,75";"78,13";"69,37"
"241050 RAFAEL FERNANDES";"67,37";"69,99";"46,82";"52,36";"86,44";"83,74";"45,20";"65,83";"97,92";"119,97";"70,65"
"241060 RAFAEL GODEIRO";"68,37";"79,26";"65,38";"87,53";"51,20";"85,22";"70,82";"64,95";"94,37";"82,13";"72,24"
"241070 RIACHO DA CRUZ";"66,43";"63,03";"56,38";"67,04";"81,26";"62,32";"61,34";"70,14";"92,07";"153,25";"73,22"
"241080 RIACHO DE SANTANA";"72,79";"91,67";"79,76";"52,55";"75,75";"97,29";"58,38";"78,96";"68,21";"57,44";"72,12"
"241090 RIACHUELO";"65,35";"74,04";"56,58";"93,73";"76,94";"60,61";"44,92";"69,52";"58,88";"84,02";"66,80"
"241100 RODOLFO FERNANDES";"70,05";"88,97";"81,21";"63,92";"110,72";"108,46";"56,67";"57,77";"81,39";"72,75";"77,01"
"241105 TIBAU";"60,17";"78,81";"65,48";"61,05";"113,47";"72,42";"54,11";"75,10";"80,86";"90,48";"73,77"
"241110 RUY BARBOSA";"62,02";"46,77";"49,18";"67,67";"72,60";"74,56";"10,19";"53,31";"113,25";"89,08";"62,97"
"241120 SANTA CRUZ";"71,26";"99,20";"84,83";"78,13";"100,02";"112,44";"41,66";"74,37";"90,16";"120,29";"84,21"
"241140 SANTANA DO MATOS";"75,26";"81,41";"89,13";"69,62";"87,05";"91,66";"47,43";"58,99";"82,76";"103,33";"76,65"
"241142 SANTANA DO SERIDO";"76,46";"97,67";"79,80";"73,53";"125,19";"110,94";"76,09";"95,21";"109,67";"111,74";"93,62"
"241150 SANTO ANTONIO";"88,72";"87,88";"67,99";"54,14";"87,57";"111,05";"38,82";"59,81";"62,80";"76,77";"73,57"
"241160 SAO BENTO DO NORTE";"100,14";"98,89";"113,95";"72,49";"73,46";"147,83";"74,28";"57,56";"111,81";"112,53";"94,86"
"241170 SAO BENTO DO TRAIRI";"65,82";"67,37";"56,08";"49,97";"89,41";"38,13";"5,38";"39,19";"77,47";"42,86";"52,40"
"241180 SAO FERNANDO";"71,57";"68,86";"66,05";"63,50";"91,04";"121,43";"54,22";"57,19";"101,15";"88,45";"75,97"
"241190 SAO FRANCISCO DO OESTE";"68,47";"56,90";"61,88";"98,81";"133,20";"91,01";"65,97";"81,83";"56,61";"64,94";"75,71"
"241200 SAO GONCALO DO AMARANTE";"70,74";"84,91";"69,55";"62,14";"80,06";"73,35";"31,11";"42,84";"61,29";"35,08";"59,35"
"241210 SAO JOAO DO SABUGI";"63,18";"64,57";"87,80";"52,88";"86,59";"99,78";"63,47";"75,59";"78,84";"73,45";"72,60"
"241220 SAO JOSE DE MIPIBU";"78,37";"101,85";"89,35";"57,24";"92,84";"103,71";"38,17";"71,75";"59,23";"57,95";"72,75"
"241230 SAO JOSE DO CAMPESTRE";"73,94";"81,13";"66,25";"61,05";"81,13";"92,90";"29,16";"57,75";"69,92";"59,54";"66,43"
"241240 SAO JOSE DO SERIDO";"81,46";"88,76";"114,54";"55,99";"108,78";"137,62";"72,66";"67,38";"135,75";"87,80";"90,96"
"241250 SAO MIGUEL";"69,65";"89,14";"63,65";"71,20";"80,30";"80,47";"36,03";"48,42";"61,27";"58,66";"65,91"
"241255 SAO MIGUEL DO GOSTOSO";"86,33";"91,39";"110,26";"128,82";"166,27";"110,83";"46,27";"79,07";"111,48";"134,89";"99,40"
"241260 SAO PAULO DO POTENGI";"70,79";"100,89";"87,73";"87,29";"88,83";"71,27";"27,89";"59,15";"78,79";"81,95";"73,38"
"241270 SAO PEDRO";"64,11";"86,36";"54,83";"67,09";"79,87";"49,44";"63,03";"84,87";"89,53";"60,00";"68,94"
"241280 SAO RAFAEL";"68,96";"81,44";"71,95";"83,46";"116,11";"112,27";"66,52";"57,62";"53,41";"86,63";"79,00"
"241290 SAO TOME";"66,10";"67,42";"67,57";"60,83";"93,58";"82,94";"21,60";"60,18";"82,00";"65,59";"64,22"
"241300 SAO VICENTE";"73,07";"86,32";"81,85";"65,38";"83,86";"112,45";"50,09";"51,50";"95,08";"80,00";"75,10"
"241310 SENADOR ELOI DE SOUZA";"72,12";"68,02";"76,07";"82,07";"80,16";"41,92";"28,09";"50,24";"64,92";"80,16";"64,10"
"241320 SENADOR GEORGINO AVELINO";"84,45";"82,67";"59,47";"93,44";"89,75";"147,08";"63,23";"104,25";"110,09";"81,45";"90,50"
"241330 SERRA DE SAO BENTO";"73,88";"69,83";"60,89";"61,78";"84,96";"57,78";"49,48";"69,63";"98,04";"124,65";"73,74"
"241335 SERRA DO MEL";"71,63";"73,16";"62,43";"59,23";"86,91";"84,34";"48,80";"72,60";"68,60";"97,71";"71,20"
"241340 SERRA NEGRA DO NORTE";"72,91";"84,33";"72,19";"64,26";"87,41";"87,45";"46,23";"79,47";"79,13";"83,62";"74,10"
"241350 SERRINHA";"69,87";"47,92";"49,31";"69,39";"67,53";"91,30";"25,23";"60,92";"81,49";"72,91";"61,36"
"241355 SERRINHA DOS PINTOS";"72,88";"83,86";"51,51";"66,40";"121,25";"137,98";"59,62";"65,38";"91,63";"100,83";"81,11"
"241360 SEVERIANO MELO";"67,58";"71,65";"54,23";"49,98";"88,84";"117,09";"45,06";"78,09";"88,20";"111,23";"73,80"
"241370 SITIO NOVO";"62,43";"61,52";"59,79";"55,48";"88,98";"55,92";"47,76";"58,63";"68,22";"57,58";"61,34"
"241380 TABOLEIRO GRANDE";"81,81";"108,00";"117,89";"83,76";"67,47";"102,88";"62,11";"92,61";"117,74";"98,90";"89,05"
"241390 TAIPU";"83,85";"86,91";"87,36";"52,04";"111,26";"71,05";"52,58";"54,80";"64,13";"75,24";"72,51"
"241400 TANGARA";"67,08";"72,20";"58,19";"70,04";"73,77";"50,86";"12,58";"32,75";"65,37";"44,73";"54,09"
"241410 TENENTE ANANIAS";"70,35";"80,69";"82,69";"70,67";"99,67";"117,85";"63,43";"69,11";"88,03";"85,83";"81,65"
"241415 TENENTE LAURENTINO CRUZ";"70,85";"74,51";"73,08";"60,87";"91,59";"117,92";"43,96";"89,76";"77,15";"61,35";"75,43"
"241420 TIBAU DO SUL";"76,52";"81,60";"82,37";"63,20";"68,35";"122,78";"46,87";"38,22";"43,72";"61,75";"65,39"
"241430 TIMBAUBA DOS BATISTAS";"78,26";"72,22";"71,49";"93,57";"147,83";"97,54";"56,54";"60,59";"123,06";"79,08";"84,96"
"241440 TOUROS";"64,75";"47,06";"52,48";"74,69";"92,58";"81,45";"38,91";"49,29";"45,76";"57,38";"60,33"
"241445 TRIUNFO POTIGUAR";"77,51";"65,89";"143,57";"78,63";"152,64";"98,21";"63,59";"53,49";"92,04";"80,41";"88,99"
"241450 UMARIZAL";"72,18";"85,10";"72,76";"89,29";"92,82";"91,85";"21,71";"48,99";"87,00";"64,68";"71,84"
"241460 UPANEMA";"78,22";"78,37";"68,71";"67,88";"95,59";"79,45";"40,06";"43,32";"47,94";"62,55";"66,15"
"241470 VARZEA";"78,22";"80,96";"60,08";"69,75";"94,26";"83,17";"33,03";"63,31";"77,69";"103,50";"73,70"
"241475 VENHA-VER";"82,10";"81,42";"67,51";"64,20";"100,37";"99,06";"47,36";"52,70";"66,27";"89,94";"74,19"
"241480 VERA CRUZ";"72,58";"73,03";"67,14";"73,47";"93,19";"89,22";"4,81";"33,58";"30,35";"51,53";"56,87"
"241490 VICOSA";"106,23";"103,78";"74,32";"90,17";"89,17";"97,04";"82,01";"65,23";"78,11";"118,68";"90,01"
"241500 VILA FLOR";"77,94";"81,85";"60,12";"100,69";"140,57";"81,85";"38,75";"84,74";"87,97";"50,26";"79,60"
"250010 AGUA BRANCA";"98,83";"94,63";"86,02";"73,19";"96,83";"132,52";"70,48";"94,92";"73,97";"97,91";"90,26"
"250020 AGUIAR";"79,39";"73,46";"48,60";"71,55";"102,64";"106,88";"67,75";"68,82";"67,79";"68,94";"74,59"
"250030 ALAGOA GRANDE";"80,98";"75,09";"61,52";"58,72";"68,17";"93,71";"59,90";"76,95";"73,94";"78,06";"72,43"
"250040 ALAGOA NOVA";"73,41";"82,16";"62,98";"64,30";"68,33";"75,38";"53,74";"82,50";"81,52";"79,54";"71,41"
"250050 ALAGOINHA";"88,27";"59,25";"52,61";"93,33";"55,53";"45,92";"39,19";"60,47";"66,54";"88,60";"65,12"
"250053 ALCANTIL";"79,37";"85,02";"97,01";"93,66";"95,29";"81,93";"52,16";"71,34";"55,39";"51,03";"75,15"
"250057 ALGODAO DE JANDAIRA";"76,12";"54,58";"59,34";"58,65";"122,30";"117,95";"83,60";"118,04";"85,77";"97,97";"85,05"
"250060 ALHANDRA";"67,58";"72,91";"66,30";"57,90";"42,62";"82,10";"32,56";"61,32";"76,68";"59,41";"60,13"
"250070 SAO JOAO DO RIO DO PEIXE";"67,43";"82,68";"54,93";"55,61";"69,71";"72,85";"57,80";"67,26";"79,04";"98,09";"68,99"
"250073 AMPARO";"73,26";"50,72";"26,61";"48,52";"63,96";"79,59";"47,70";"88,24";"72,60";"100,71";"65,23"
"250077 APARECIDA";"77,18";"101,18";"57,20";"59,27";"92,02";"109,01";"63,32";"69,82";"89,52";"109,08";"80,83"
"250080 ARACAGI";"88,00";"92,31";"78,26";"86,73";"57,16";"83,19";"46,51";"54,13";"92,91";"88,86";"75,43"
"250090 ARARA";"78,72";"85,25";"71,14";"67,18";"77,96";"88,62";"54,12";"60,13";"81,49";"102,64";"75,55"
"250100 ARARUNA";"79,96";"52,68";"56,87";"77,83";"48,65";"48,43";"32,60";"59,76";"83,43";"149,99";"67,21"
"250110 AREIA";"79,01";"78,16";"66,32";"65,73";"88,25";"87,38";"62,40";"80,37";"77,17";"95,17";"77,36"
"250115 AREIA DE BARAUNAS";"87,95";"68,22";"47,61";"68,37";"92,22";"74,97";"62,02";"93,24";"74,17";"81,15";"74,75"
"250120 AREIAL";"71,06";"80,32";"62,56";"92,35";"76,30";"76,88";"29,37";"68,57";"80,03";"80,90";"70,02"
"250130 AROEIRAS";"79,64";"74,94";"50,66";"71,14";"82,01";"82,97";"49,65";"60,14";"70,62";"53,12";"67,35"
"250135 ASSUNCAO";"79,77";"81,66";"75,44";"80,60";"45,39";"70,79";"72,96";"81,48";"104,47";"117,78";"80,20"
"250140 BAIA DA TRAICAO";"66,56";"48,57";"64,14";"43,16";"72,98";"112,18";"43,33";"92,68";"43,80";"37,32";"61,50"
"250150 BANANEIRAS";"76,90";"86,26";"73,55";"65,36";"78,91";"78,51";"53,68";"71,86";"75,76";"70,23";"72,27"
"250153 BARAUNA";"78,15";"94,87";"85,09";"103,54";"86,11";"98,90";"39,81";"65,70";"79,78";"63,66";"77,62"
"250157 BARRA DE SANTANA";"82,97";"70,62";"60,39";"62,88";"69,04";"79,32";"61,49";"76,95";"80,37";"93,00";"73,69"
"250160 BARRA DE SANTA ROSA";"77,99";"62,76";"63,26";"104,92";"93,49";"96,02";"72,74";"98,16";"89,70";"79,48";"82,99"
"250170 BARRA DE SAO MIGUEL";"87,47";"76,36";"67,51";"61,81";"96,28";"87,43";"69,01";"87,69";"101,33";"103,91";"83,08"
"250180 BAYEUX";"92,95";"92,20";"79,45";"75,84";"93,50";"64,45";"44,63";"52,71";"60,86";"51,19";"70,93"
"250190 BELEM";"82,62";"91,40";"73,14";"72,58";"62,69";"73,00";"48,09";"71,52";"78,42";"113,15";"74,86"
